pref	tel	indirizzo_e_mail	sito_internet	Altitudine	Comune_Sede_Agriturismo	Indirizzo_agriturismo	Denominazione_Agriturismo	Tot_posti_letto	N_tot_posti_tavola
328	7479787	agriturparadiso@gmail.com			Roncegno	Località Trenca	AGRITUR PARADISO	0	15
329	7921809	asbabbara@yahoo.it			Molveno	Località Pradel	MALGA TOVRE	0	20
347	5981396	az.agricolaoradini@gmail.com			Ledro	Località Derco 5	AGRITUR LA DASA	0	40
462	768198	ciasadopa@hotmail.com			Soraga	Strada De Do Parè	AGRITUR CIASA DO' PARE'	6	42
349	3828745	claudio.rozza1@virgilio.it			Novaledo	Loc. Malga Masi	MALGA MASI	8	60
329	9355396	filippo.rasom@yahoo.it			Vigo di Fassa	Via Strada de Val 11	AGRITUR MAJON DA MONT	18	27
463	902690	francescopancheri@gmail.com			Malè	Via Degli Alpini 14	AGRITUR SOLE LEVANTE	14	58
346	6810762	ghirardini-antonella@hotmail.it			Rabbi	Malga Monte Sole	AGRITUR MALGA STABLAZ	8	60
328	1876278	giacomellisabrina@virgilio.it			Predazzo	Località Valmaggiore	MALGA VALMAGGIORE	0	58
43	964491	giovanni.turra76@gmail.com			Primiero S. Martino di Castrozza	Località Malga Canali	MALGA CANALI	0	50
335	308259	info@agrituraguabiencia.it			Pozza di Fassa	Località Ramon - Pera di Fassa	AGRITUR AGUA BIENCIA	16	45
461	448268	info@agriturallegorghe.it			Trento	Strada Alle Gorghe 17	AGRITUR ALLE GORGHE	0	30
463	450366	info@agrituralparadis.it			Ville D'anaunia	Fraz. Portolo via al Paradis, 1	AL PARADIS	21	33
340	5831022	info@agriturelmas.it	www.agriturelmas.it		Moena	Strada Saslonch 176	AGRITUR EL MAS	16	35
464	789723	info@agriturgaleno.it			Luserna	Via Cima Nora 34	AGRITUR GALENO	24	60
333	2358694	info@agriturismolaval.it			Altopiano della Vigolana	Via Bersaglio 24	AGRITURISMO LA VAL	16	25
328	289922	info@agriturlecavade.it			Cembra Lisignago	Località Cavade 1	AGRITUR LE CAVADE	15	50
461	684381	info@agritursimoni.it			Giovo	Piazza Degli Alpini 13	AGRITUR SIMONI	5	25
461	847019	info@berryhouse.it			Altopiano della Vigolana	Località Pozze 2	BERRY HOUSE	16	25
348	3695792	info@bordolona.net			Bresimo	Locallità Alpe Bordolona	MALGA BORDOLONA	0	60
345	6010996	info@campofiorito.net	www.campofiorito.net		Cavedine	Via Masi di Sopra 9/2	AGRITUR CAMPO FIORITO	7	40
392	589710	info@malgatuena.it			Ville D'anaunia	Loc. Malga Tuena	MALGA TUENA	4	20
340	7128301	info@masolena.it			Predazzo	Via Salita Alla Cascata 3	AGRITUR MASO LENA	24	60
340	7128301	info@masolena.it			Moena	Località Boce	MALGA BOCCHE	0	30
348	6107719	info@mielidautore.it	www.florandonole.it		Fai d/Paganella	Via Ai Dossi 22	AGRITURISMO FLORANDONOLE	18	20
335	5459515	info@nestalp.com	www.nestalp.com		Peio	Località Malga Campo	NESTALP MALGA CAMPO	7	60
349	5703243	lastropaia@email.it			Baselga	Via Della Prestala n. 20	LA STROPAIA	0	60
461	556709	lemandre.bedollo@gmail.com	www.lemandre.com		Bedollo	Via S. Osvaldo 37	AZIENDA AGRICOLA LE MANDRE	0	60
329	2212978	lorenzo@naranch.it	www.naranch.it		Mori	Località Naranch	AGRITURISMO MASO NARANCH	9	60
462	340522	marchulla@hotmail.it			Castello Molina di Fiemme	Località Maso Sorte 3	AGRITUR MASO SORTE	0	35
392	4081988	mattiamarcato@alice.it			Castelfondo	Località Castrin	MALGA CASTRIN	15	20
461	653168	mielebelfort@virgilio.it			Valfloriana	Località Buse	AGRITUR MALGA SASS	13	60
347	3133893	perotin.f@pec.it			Caldonazzo	Via Brenta 70/A	AGRITUR DAL PEROTIN	7	25
340	8492019	sara.defrancesco.90@gmail.com			Moena	Località Alpe Lusia	AGRITUR MALGA POZZA	0	30
335	308259	silvanochenetti@gmail.com			Pozza di Fassa	Loc. Val Giumella	MALGA GIUMELLA BASSA	0	40
461	231684	silvio.bampi@virgilio.it			Trento	Via Dei Bergamini 6	AGRITUR CALCAIOL	0	50
439	64955	turralina@libero.it			Primiero S. Martino di Castrozza	Località Fossetta	MALGA FOSSETTA	10	60
439	62941				Canal S. Bovo	Loc. Malga Fossernica di Dentro	MALGA FOSSERNICA DI DENTRO	0	9
461	605637				Mezzocorona	Via C. Battisti n. 70	AGRITUR MASO OLIVA	0	20
461	763561				Scurelle	Loc. Caserina di Dentro	MALGA CASERINA DI DENTRO	0	60
464	531120				Arco	Loc. Gerone	MASO LE 4 STAGIONI	15	25
462	231532				Castello Molina di Fiemme	Via Stazione, n. 9	MASO PERTICA	14	35
465	321345				Porte di Rendena	Loc. Sacconi n. 220	AGRITUR IL FAVO	0	60
461	844206				Vallelaghi	Fraz. Ranzo - Via Del Dossel 5	AGRITUR BEATRICI	0	25
461	811384				Trento	Loc. Povo - Via Alla Cascata 27	AGRITUR PONTE ALTO	23	25
340	4656476				Cinte Tesino	Loc. Malga Arpaco	MALGA ARPACO	12	60
340	1524315				Daiano	Loc. Pozze di Sopra, n. 2	SOCIETA' AGRICOLA MASO DELLO SPECK	0	60
335	295798				Lavis	Loc. Masi di Pressano n. 22/D	AGRITUR MASO TRATTA	24	37
348	343067				Vallelaghi	Loc. Campi alla Casetta	Agritur Giustino il contadino - Campi alla Casetta	4	60
461	643021				Sporminore	Via Maron, n. 4	SANDRO	0	47
349	6006994				Cimone	Loc. Pifferi n. 26 - Loc. Cimoneri	CA' DEI VELI	0	35
348	5667141				Trento	Loc. Malga Brigolina	MALGA BRIGOLINA	0	60
327	1635600				Pozza di Fassa	Località Valle dei Monzoni	MALGA MONZONI	0	40
349	5432286				Mezzocorona	Via Dei Camorzi n. 17	AGRITUR ANTICO FIENILE	26	25
336	261042				Brez	Via Case Sparse 10	AGRITUR MASO FORCOLA	14	20
462	341001				Cavalese	Via Gastaldo 16	PIANRESTEL	20	40
348	3608026				Peio	Loc. Pont	AGRITUR CAZZUFFI DI CAZZUFFI CLAUDIO SOCIETA' SEMPLICE AGRICOLA	0	28
348	6535975				Castello Tesino	Loc. Passo Brocon	AGRITUR MALGA VALFONTANE	7	20
338	3035723				Giovo	Fraz. Serci civico 8/A	AGRITUR AI SERCI	9	25
348	7120227				Ziano di Fiemme	Loc. Sadole	MALGA SADOLE	0	35
340	2285316				Fai d/Paganella	Via Carmelo 12/A	IL FILO D'ERBA	0	54
328	6834421				Rovereto	Loc. Masi Brenta - Senter 3	MASI BRENTA	18	20
463	902132				Caldes	Fraz. Bordiana - Via del Brenz 47	LA PERGOLA	0	25
